Entity1,Entity2
https://saref.etsi.org/core/Actuator,https://w3id.org/saref#Actuator
https://saref.etsi.org/core/Device,https://w3id.org/saref#Device
https://saref.etsi.org/core/Measurement,https://w3id.org/saref#Measurement
https://saref.etsi.org/core/Property,https://w3id.org/saref#Property
https://saref.etsi.org/core/Sensor,https://w3id.org/saref#Sensor
https://saref.etsi.org/saref4bldg/Actuator,https://w3id.org/saref#Actuator
https://saref.etsi.org/saref4bldg/AirToAirHeatRecovery,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Air_to_air_heat_recovery
https://saref.etsi.org/saref4bldg/AudioVisualAppliance,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Audio_visual_appliance
https://saref.etsi.org/saref4bldg/Boiler,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Boiler
https://saref.etsi.org/saref4bldg/Burner,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Burner
https://saref.etsi.org/saref4bldg/Chiller,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Chiller
https://saref.etsi.org/saref4bldg/Coil,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Coil
https://saref.etsi.org/saref4bldg/CommunicationAppliance,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Communication_appliance
https://saref.etsi.org/saref4bldg/Compressor,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Compressor
https://saref.etsi.org/saref4bldg/Controller,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Controller
https://saref.etsi.org/saref4bldg/CooledBeam,https://w3id.org/saref#EnergyRelated
https://saref.etsi.org/saref4bldg/Damper,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Damper
https://saref.etsi.org/saref4bldg/ElectricGenerator,https://w3id.org/saref#Generator
https://saref.etsi.org/saref4bldg/ElectricMotor,https://w3id.org/saref#Generator
https://saref.etsi.org/saref4bldg/EnergyConversionDevice,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Energy_conversion_device
https://saref.etsi.org/saref4bldg/Engine,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Energy_conversion_device
https://saref.etsi.org/saref4bldg/Fan,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Fan
https://saref.etsi.org/saref4bldg/Filter,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Filter
https://saref.etsi.org/saref4bldg/FlowController,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Flow_controller
https://saref.etsi.org/saref4bldg/FlowInstrument,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Flow_device
https://saref.etsi.org/saref4bldg/FlowInstrument,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Flow_meter
https://saref.etsi.org/saref4bldg/FlowInstrument,https://w3id.org/saref#EnergyRelated
https://saref.etsi.org/saref4bldg/FlowMeter,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Flow_meter
https://saref.etsi.org/saref4bldg/FlowMovingDevice,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Flow_moving_device
https://saref.etsi.org/saref4bldg/FlowStorageDevice,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Flow_storage_device
https://saref.etsi.org/saref4bldg/FlowTerminal,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Flow_terminal
https://saref.etsi.org/saref4bldg/Humidifier,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Humidifier
https://saref.etsi.org/saref4bldg/Interceptor,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Interceptor
https://saref.etsi.org/saref4bldg/Lamp,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Lamp
https://saref.etsi.org/saref4bldg/Pump,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Pump
https://saref.etsi.org/saref4bldg/Sensor,https://w3id.org/saref#Sensor
https://saref.etsi.org/saref4bldg/SpaceHeater,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Space_heater
https://saref.etsi.org/saref4bldg/SwitchingDevice,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Switching_device
https://saref.etsi.org/saref4bldg/Tank,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Tank
https://saref.etsi.org/saref4bldg/Transformer,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Transformer
https://saref.etsi.org/saref4bldg/TransportElement,https://w3id.org/saref#EnergyRelated
