	SrcEntity	TgtEntity	Score
0	https://saref.etsi.org/saref4bldg/MedicalDevice	https://w3id.org/saref#LightingDevice	1.0
1	https://saref.etsi.org/saref4bldg/ElectricAppliance	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Electricity_sensor	1.0
2	https://saref.etsi.org/saref4bldg/CoolingTower	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Power_meter	1.0
3	https://saref.etsi.org/saref4bldg/Damper	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Damper	1.0
4	https://saref.etsi.org/saref4bldg/EvaporativeCooler	https://w3id.org/saref#LightSwitch	1.0
5	https://saref.etsi.org/saref4bldg/Filter	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Filter	1.0
6	https://saref.etsi.org/saref4bldg/PhysicalObject	https://w3id.org/saref#SetAbsoluteLevelCommand	1.0
7	https://saref.etsi.org/saref4bldg/Transformer	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Transformer	1.0
8	https://saref.etsi.org/saref4bldg/FlowTerminal	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Flow_terminal	1.0
9	https://saref.etsi.org/saref4bldg/FireSuppressionTerminal	https://w3id.org/saref#PowerUnit	1.0
10	https://saref.etsi.org/core/Device	https://w3id.org/saref#Device	1.0
11	https://saref.etsi.org/saref4bldg/HeatExchanger	https://w3id.org/saref#TemperatureSensor	1.0
12	https://saref.etsi.org/saref4bldg/AirToAirHeatRecovery	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Air_to_air_heat_recovery	1.0
13	https://saref.etsi.org/saref4bldg/Burner	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Burner	1.0
14	https://saref.etsi.org/saref4bldg/FlowInstrument	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Flow_terminal_device	1.0
15	https://saref.etsi.org/saref4bldg/Sensor	https://w3id.org/saref#Sensor	1.0
16	https://saref.etsi.org/saref4bldg/Controller	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Controller	1.0
17	https://saref.etsi.org/saref4bldg/Tank	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Tank	1.0
18	https://saref.etsi.org/saref4bldg/Alarm	https://w3id.org/saref#Generator	1.0
19	https://saref.etsi.org/saref4bldg/TubeBundle	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Tube_bundle	1.0
20	https://saref.etsi.org/core/UnitOfMeasure	https://sargon-n5geh.netlify.app/ontology/1.0/classes/State_of_charge	1.0
21	https://saref.etsi.org/saref4bldg/FlowStorageDevice	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Flow_storage_device	1.0
22	https://saref.etsi.org/saref4bldg/Actuator	https://w3id.org/saref#Actuator	1.0
23	https://saref.etsi.org/saref4bldg/SanitaryTerminal	https://w3id.org/saref#EnergyUnit	1.0
24	https://saref.etsi.org/saref4bldg/Interceptor	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Interceptor	1.0
25	https://saref.etsi.org/saref4bldg/ElectricFlowStorageDevice	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Air_flow_sensor	1.0
26	https://saref.etsi.org/saref4bldg/FlowTreatmentDevice	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Flow_device	1.0
27	https://saref.etsi.org/saref4bldg/FlowController	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Flow_controller	1.0
28	https://saref.etsi.org/saref4bldg/CommunicationAppliance	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Communication_appliance	1.0
29	https://saref.etsi.org/saref4bldg/ProtectiveDevice	https://w3id.org/saref#SensingFunction	1.0
30	https://saref.etsi.org/saref4bldg/ElectricTimeControl	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Electronic_time_control	1.0
31	https://saref.etsi.org/saref4bldg/EnergyConversionDevice	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Energy_conversion_device	1.0
32	https://saref.etsi.org/saref4bldg/Chiller	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Chiller	1.0
33	https://saref.etsi.org/saref4bldg/DistributionControlDevice	https://sargon-n5geh.netlify.app/ontology/1.0/classes/ControlDevice	1.0
34	https://saref.etsi.org/saref4bldg/Fan	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Fan	1.0
35	https://saref.etsi.org/saref4bldg/FlowMovingDevice	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Flow_moving_device	1.0
36	https://saref.etsi.org/saref4bldg/Pump	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Pump	1.0
37	https://saref.etsi.org/saref4bldg/BuildingDevice	https://w3id.org/saref#DoorSwitch	1.0
38	https://saref.etsi.org/saref4bldg/Valve	https://w3id.org/saref#PressureUnit	1.0
39	https://saref.etsi.org/saref4bldg/DuctSilencer	https://w3id.org/saref#Occupancy	1.0
40	https://saref.etsi.org/saref4bldg/VibrationIsolator	https://w3id.org/saref#MeteringFunction	1.0
41	https://saref.etsi.org/saref4bldg/Lamp	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Lamp	1.0
42	https://saref.etsi.org/saref4bldg/ShadingDevice	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Water_flow_sensor	1.0
43	https://saref.etsi.org/saref4bldg/ElectricMotor	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Battery_storage	1.0
44	https://saref.etsi.org/saref4bldg/TransportElement	https://w3id.org/saref#EventFunction	1.0
45	https://saref.etsi.org/saref4bldg/UnitaryControlElement	https://w3id.org/saref#LevelControlFunction	1.0
46	https://saref.etsi.org/saref4bldg/Condenser	https://w3id.org/saref#StartStopFunction	1.0
47	https://saref.etsi.org/saref4bldg/ProtectiveDeviceTrippingUnit	https://w3id.org/saref#WashingMachine	1.0
48	https://saref.etsi.org/saref4bldg/Building	https://w3id.org/saref#BuildingRelated	1.0
49	https://saref.etsi.org/saref4bldg/Compressor	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Compressor	1.0
50	https://saref.etsi.org/saref4bldg/SwitchingDevice	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Switching_device	1.0
51	https://saref.etsi.org/saref4bldg/BuildingObject	https://w3id.org/saref#TemperatureUnit	1.0
52	https://saref.etsi.org/saref4bldg/DistributionFlowDevice	https://w3id.org/saref#GetCurrentMeterValueCommand	1.0
53	https://saref.etsi.org/saref4bldg/DistributionDevice	https://w3id.org/saref#SmokeSensor	1.0
54	https://saref.etsi.org/saref4bldg/Humidifier	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Humidifier	1.0
55	https://saref.etsi.org/saref4bldg/Coil	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Coil	1.0
56	https://saref.etsi.org/saref4bldg/Boiler	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Boiler	1.0
57	https://saref.etsi.org/saref4bldg/ElectricGenerator	https://w3id.org/saref#EnergyMeter	1.0
58	https://saref.etsi.org/saref4bldg/Evaporator	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Convertor	1.0
59	https://saref.etsi.org/saref4bldg/Outlet	https://w3id.org/saref#Currency	1.0
60	https://saref.etsi.org/saref4bldg/SpaceHeater	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Space_heater	1.0
61	https://saref.etsi.org/core/Property	https://w3id.org/saref#Property	1.0
62	https://saref.etsi.org/saref4bldg/FlowMeter	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Flow_meter	1.0
63	https://saref.etsi.org/saref4bldg/CooledBeam	https://w3id.org/saref#EnergyRelated	1.0
64	https://saref.etsi.org/core/Measurement	https://w3id.org/saref#Measurement	1.0
65	https://saref.etsi.org/saref4bldg/SolarDevice	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Electronic_flow_storage_device	1.0
66	https://saref.etsi.org/saref4bldg/Engine	https://sargon-n5geh.netlify.app/ontology/1.0/classes/HP	1.0
67	https://saref.etsi.org/saref4bldg/BuildingSpace	https://w3id.org/saref#Time	1.0
68	https://saref.etsi.org/saref4bldg/AudioVisualAppliance	https://sargon-n5geh.netlify.app/ontology/1.0/classes/Audio_visual_appliance	1.0
